question,answer
"ઘરો અને તેમના સૂત્ર શું છે?","બ્લૂબેલ્સ – સંપૂર્ણ પ્રયાસ એ સંપૂર્ણ વિજય. ડેફોડિલ્સ – તમારો ભાગ ભજવો. ગુલાબ – પ્રયત્ન દ્વારા શ્રેષ્ઠતા. શેમરોક્સ – ક્યારેય હાર ન માનવી."
"પરીક્ષાઓ સામાન્ય રીતે ક્યારે થાય છે?","સપ્ટેમ્બર અને માર્ચ મહિનામાં."
"શાળાની સ્થાપના ક્યારે થઈ?","૧૯૮૨ વર્ષે."
"અહીં કયા ધોરણો ભણાવવામાં આવે છે?","ઈ-વાય ૧ થી ઈ-વાય ૪, ધોરણ ૧ થી ૧૦, અને એ-લેવલ્સ."
"મુખ્ય કાર્યાલય ક્યાં છે?","ગ્રાઉન્ડ ફ્લોર પર, આચાર્યની કેબિન પાસે."
"શાળાનું સૂત્ર અને મિશન શું છે?","સૂત્ર: જ્ઞાન એ શક્તિ. મિશન: વિદ્યાર્થીઓની વ્યક્તિગત, સર્જનાત્મક, શારીરિક અને નૈતિક ક્ષમતાઓ વિકસાવીને તેમને સક્ષમ અને દયાળુ વ્યક્તિ બનાવવું."
"નવીનતા કેન્દ્ર ક્યાં છે?","ચોથો માળ."
"ઓડિટોરિયમ ક્યાં છે?","ચોથો માળ."
"સ્ટાફ રૂમ ક્યાં છે?","પ્રથમ માળ."
"કઈ રમતો ઉપલબ્ધ છે?","માર્શલ આર્ટ્સ, એથ્લેટિક્સ, સ્કેટિંગ, જિમ્નાસ્ટિક્સ, ટેબલ ટેનિસ, બાસ્કેટબોલ, ક્રિકેટ, હેન્ડબોલ અને થ્રોબોલ."
"શું ખોવાયેલું અને મળેલું વિભાગ છે?","હા."
"વિદ્યાર્થી પરિષદમાં કેવી રીતે જોડાઈ શકાય?","વધુ માહિતી માટે કાઉન્સેલરને સંપર્ક કરો."
